SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,CNT_FAM_MEMBERS,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_EMAIL,REGION_RATING_CLIENT,REG_REGION_NOT_LIVE_REGION,PREV_AMT_CREDIT_mean,PREV_AMT_CREDIT_max,PREV_CNT_PAYMENT_mean,PREV_NFLAG_LAST_APPL_IN_DAY_sum,PREV_DAYS_DECISION_mean,PREV_NAME_CONTRACT_STATUS_Approved_sum,PREV_NAME_CONTRACT_STATUS_Refused_sum,PREV_NAME_CONTRACT_STATUS_Canceled_sum,PREV_NAME_CONTRACT_STATUS_Unused offer_sum,PREV_NAME_CLIENT_TYPE_New_sum,PREV_NAME_CLIENT_TYPE_Repeater_sum,PREV_NAME_CLIENT_TYPE_Refreshed_sum,PREV_NAME_CLIENT_TYPE_XNA_sum,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,NAME_INCOME_TYPE_Public,NAME_INCOME_TYPE_Retired,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Lower,NAME_EDUCATION_TYPE_Secondary,NAME_HOUSING_TYPE_Stable,NAME_HOUSING_TYPE_With parents,OCCUPATION_TYPE_Service,OCCUPATION_TYPE_Unknown,OCCUPATION_TYPE_White collar,ORGANIZATION_TYPE_Business,ORGANIZATION_TYPE_Government,ORGANIZATION_TYPE_Health/Education,ORGANIZATION_TYPE_Industry,ORGANIZATION_TYPE_Services,ORGANIZATION_TYPE_Trade,ORGANIZATION_TYPE_Transport
405837,1,0,0,0,1,0,121500,315000,16083,315000,-15641,-93,-2213,2,1,0,1,0,2,0,264459,654498,9,5,-770,2,3,0,0,1,4,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
265148,0,0,0,1,1,0,189000,315000,20277,315000,-19907,-1648,-5663,2,0,0,1,1,2,0,137473,675000,24,14,-522,7,0,7,0,1,12,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
137932,0,0,1,0,1,1,315000,491031,34303,463500,-13462,-5575,-4583,3,1,0,1,0,3,0,107723,216418,9,8,-1858,8,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
183747,0,0,1,1,1,1,225000,1006920,42790,900000,-12556,-4184,-2903,3,1,0,1,0,2,0,104733,117697,10,3,-1227,3,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
113190,0,0,0,0,1,0,108000,585000,20853,585000,-21083,-1648,-7582,2,0,0,1,0,2,0,210222,384948,7,4,-960,4,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
329785,0,0,0,0,1,0,135000,781920,25839,675000,-21319,-1648,-2625,2,0,0,1,0,2,0,186931,367389,24,3,-2571,3,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
348409,0,0,0,0,1,0,280498,521280,31630,450000,-9284,-871,-4296,1,1,0,1,0,2,0,40592,144211,8,9,-1029,6,2,1,0,3,6,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
371965,0,0,1,1,1,0,118350,158301,15552,148500,-25105,-1648,-13262,2,0,0,1,0,2,0,129033,285894,18,10,-758,7,0,3,0,0,10,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
389445,0,0,0,0,0,0,112500,454500,19255,454500,-19715,-3722,-8970,2,1,0,1,0,2,0,134248,177219,18,2,-1321,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
378776,0,0,0,0,1,0,247500,970380,28503,810000,-20358,-4955,-1321,1,1,0,1,0,2,0,619277,1169820,28,7,-684,3,4,0,0,1,6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
445132,1,0,0,1,1,0,157500,808650,22365,675000,-10797,-817,-4649,2,1,0,1,0,2,0,158930,585000,6,5,-644,5,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
241253,0,1,1,0,1,1,135000,180000,9000,180000,-15503,-5453,-3081,3,1,0,1,0,2,0,189850,189850,24,1,-478,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
196827,0,0,1,0,1,0,360000,1921797,66798,1755000,-11988,-1306,-1747,2,1,0,1,0,2,0,312726,1350000,13,6,-2280,6,0,0,0,1,5,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
102965,0,0,0,0,0,0,90000,454500,14661,454500,-15978,-501,-6147,1,1,1,1,0,2,1,144914,625536,16,5,-541,3,0,2,0,1,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
239245,0,0,0,0,1,0,144000,50940,5616,45000,-22858,-1648,-15988,1,0,0,1,0,2,0,146221,536917,30,4,-222,2,0,2,0,2,2,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
307469,0,0,0,0,0,0,90000,675000,37822,675000,-21691,-1648,-12418,2,0,0,1,1,2,0,142789,880852,13,11,-910,5,2,4,0,1,8,2,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
331364,0,0,0,0,0,0,90000,225000,26703,225000,-9837,-2902,-793,2,1,0,1,0,3,0,56594,550080,21,13,-278,3,1,9,0,1,10,2,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
211729,0,1,0,0,1,0,157500,450000,22500,450000,-20686,-1648,-9462,2,0,0,1,0,2,0,77836,77836,12,1,-264,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
363304,1,0,0,0,0,0,238500,177768,7528,135000,-17356,-3947,-8869,1,1,0,1,0,2,0,583327,1657233,38,6,-511,3,2,1,0,1,5,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
237637,0,0,1,0,1,0,128700,900000,48082,900000,-17985,-1648,-3632,2,0,0,1,0,2,0,397187,907299,18,6,-1296,6,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
172287,0,0,0,0,1,0,67500,130500,10440,130500,-21548,-1648,-9376,2,0,0,1,0,2,0,234660,675000,33,4,-805,3,0,1,0,0,2,2,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
346322,0,0,0,1,1,0,157500,545040,36553,450000,-18016,-575,-5571,1,1,0,1,0,1,0,62307,67968,10,2,-2756,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
134821,0,0,1,1,0,2,202500,738000,26275,738000,-11143,-4597,-5054,4,1,0,1,0,2,0,71814,319500,8,11,-606,6,1,4,0,1,9,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
377539,1,0,1,1,0,0,121500,101880,10566,90000,-8809,-1022,-3576,1,1,0,1,0,3,0,88690,88690,10,1,-301,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
145524,0,0,1,1,1,1,126000,694773,33552,621000,-18317,-3177,-2130,3,1,0,1,0,2,0,37206,45000,3,2,-175,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
336430,0,0,1,1,1,0,157500,1051245,30735,877500,-21520,-1433,-9992,2,1,0,1,0,2,0,30799,35658,8,3,-856,3,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
131341,0,0,0,1,1,1,247500,640080,29970,450000,-15460,-1103,-4464,2,1,0,1,0,2,0,191300,952272,16,6,-168,2,0,4,0,1,5,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
128608,0,0,0,0,1,0,99000,1125000,33025,1125000,-18620,-2800,-10918,2,1,0,1,0,2,0,46243,87880,8,5,-1147,4,0,1,0,0,4,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
219953,0,1,0,0,1,0,123975,180000,9000,180000,-22505,-139,-10976,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
370035,0,0,0,0,1,1,157500,381528,30271,315000,-10700,-2220,-10521,3,1,0,1,0,2,0,37776,113328,12,3,-383,1,1,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
193107,0,0,0,0,0,1,81000,942300,26041,675000,-18141,-6203,-8440,2,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
376448,0,0,0,0,0,0,243000,675000,22437,675000,-22750,-1648,-9876,1,0,0,1,0,2,0,111805,536917,39,9,-264,3,0,6,0,0,9,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
162926,0,0,0,0,1,0,202500,497520,39438,450000,-10579,-316,-5433,2,1,0,1,0,1,0,24222,92970,6,6,-360,1,1,4,0,1,5,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
333729,0,0,0,0,1,0,81000,310671,20889,256500,-19668,-5419,-1134,1,1,0,1,0,2,0,154120,154120,16,1,-1784,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
434562,0,0,0,0,1,0,135000,538389,37602,477000,-23592,-1648,-6461,2,0,0,1,1,2,0,65736,200200,24,5,-297,2,0,3,0,1,4,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
277496,0,0,0,0,1,0,112500,164952,10867,130500,-17680,-3611,-4930,1,1,0,1,0,2,0,111477,325908,21,4,-551,2,0,1,1,1,1,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
135698,1,0,0,0,1,1,112500,182016,12294,144000,-12762,-4550,-1246,3,1,0,1,0,2,0,93686,366142,11,9,-1035,8,1,0,0,1,8,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
384726,0,1,1,0,1,0,202500,1237500,61875,1237500,-13269,-224,-257,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
271529,0,0,1,1,0,0,221148,1129500,40846,1129500,-9618,-1359,-4081,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
152752,0,0,1,0,1,2,135000,592560,31153,450000,-12233,-103,-1344,4,1,0,1,0,2,0,35460,35460,6,1,-2782,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
434838,0,0,0,0,0,0,81000,284400,16011,225000,-23917,-1648,-11738,1,0,0,1,0,1,0,164664,222547,14,3,-883,3,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
101137,0,0,1,0,1,0,123300,497520,25758,450000,-8991,-405,-3589,1,1,1,1,0,2,0,111922,143910,9,5,-384,3,1,1,0,1,4,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
224680,0,0,1,0,0,0,90000,101880,10939,90000,-9537,-185,-5961,1,1,0,1,0,2,0,97942,109791,15,2,-1118,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
332480,0,0,1,1,0,0,382500,2013840,53122,1800000,-22294,-3912,-7603,2,1,0,1,0,1,0,568818,2024721,13,4,-709,4,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
361500,0,0,0,0,0,1,135000,1046142,30717,913500,-17472,-1945,-5509,3,1,0,1,0,2,0,440939,1345500,36,12,-561,4,3,5,0,1,11,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
142382,0,0,0,0,1,0,157500,1129500,31189,1129500,-19409,-2578,-9179,2,1,0,1,0,2,0,129082,313839,18,3,-1730,3,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
313727,0,0,0,0,1,0,135000,256500,9666,256500,-14060,-2321,-8153,2,1,0,1,0,2,0,188039,530698,32,5,-386,3,0,2,0,1,4,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
344037,0,0,0,0,1,1,144000,967378,65034,927000,-13568,-5905,-7609,2,1,0,1,0,1,0,117631,180000,7,7,-2095,7,0,0,0,1,6,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
237883,0,0,1,1,0,0,135000,697302,22621,499500,-16530,-2203,-255,2,1,0,1,0,2,0,53739,53739,24,1,-465,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
243280,0,1,0,0,1,0,180000,270000,13500,270000,-14325,-1580,-8472,2,1,0,1,0,1,0,71491,71491,10,1,-618,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
422653,0,0,0,0,1,0,112500,219042,14769,193500,-20566,-3145,-5356,2,1,0,1,0,2,0,254147,566055,40,9,-212,1,4,4,0,1,8,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
203411,0,0,0,0,1,0,112500,269982,28480,238500,-12589,-112,-6464,2,1,0,1,0,2,0,172185,246744,12,2,-1659,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
350886,0,0,0,1,0,0,202500,1764000,46530,1764000,-14116,-2501,-7054,2,1,0,1,0,1,0,279537,1129500,28,8,-803,4,0,4,0,0,8,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
133371,0,0,0,1,1,2,135000,840951,38133,679500,-13006,-4440,-198,4,1,0,1,0,2,0,36546,42952,11,2,-216,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
282489,0,0,0,0,1,2,112500,1546020,50004,1350000,-13893,-467,-8001,4,1,0,1,0,2,0,542634,2025000,30,12,-489,6,2,4,0,0,11,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
118824,1,0,0,0,1,0,157500,414229,23908,342000,-18323,-490,-5417,2,1,0,1,0,3,0,397080,588060,21,2,-695,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
397344,0,0,0,0,0,0,112500,675000,24376,675000,-20244,-676,-11733,2,1,0,1,0,2,0,50269,50269,4,1,-644,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
