SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,CNT_FAM_MEMBERS,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_EMAIL,REGION_RATING_CLIENT,REG_REGION_NOT_LIVE_REGION,PREV_AMT_CREDIT_mean,PREV_AMT_CREDIT_max,PREV_CNT_PAYMENT_mean,PREV_NFLAG_LAST_APPL_IN_DAY_sum,PREV_DAYS_DECISION_mean,PREV_NAME_CONTRACT_STATUS_Approved_sum,PREV_NAME_CONTRACT_STATUS_Refused_sum,PREV_NAME_CONTRACT_STATUS_Canceled_sum,PREV_NAME_CONTRACT_STATUS_Unused offer_sum,PREV_NAME_CLIENT_TYPE_New_sum,PREV_NAME_CLIENT_TYPE_Repeater_sum,PREV_NAME_CLIENT_TYPE_Refreshed_sum,PREV_NAME_CLIENT_TYPE_XNA_sum,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,NAME_INCOME_TYPE_Public,NAME_INCOME_TYPE_Retired,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Lower,NAME_EDUCATION_TYPE_Secondary,NAME_HOUSING_TYPE_Stable,NAME_HOUSING_TYPE_With parents,OCCUPATION_TYPE_Service,OCCUPATION_TYPE_Unknown,OCCUPATION_TYPE_White collar,ORGANIZATION_TYPE_Business,ORGANIZATION_TYPE_Government,ORGANIZATION_TYPE_Health/Education,ORGANIZATION_TYPE_Industry,ORGANIZATION_TYPE_Services,ORGANIZATION_TYPE_Trade,ORGANIZATION_TYPE_Transport
292477,0,0,0,0,0,0,135000,278811,15124,189000,-19926,-1648,-4183,1,0,0,1,0,2,0,213311,533160,43,8,-505,3,2,3,0,1,7,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
332843,0,1,0,1,1,1,337500,270000,13500,270000,-12540,-586,-779,2,1,0,1,0,2,0,44977,89955,6,2,-160,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
172710,0,0,0,0,1,0,202500,601470,30838,450000,-14324,-720,-3681,1,1,0,1,0,2,0,154944,540360,22,12,-867,4,3,3,2,0,9,3,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
412925,0,0,0,0,1,1,108000,517500,21883,517500,-14860,-3055,-614,2,1,0,1,1,3,0,127471,417843,13,8,-420,5,0,3,0,1,7,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
428078,0,0,0,1,1,1,157500,787131,30762,679500,-13811,-3380,-140,3,1,0,1,0,2,0,53820,112500,6,3,-1626,2,0,1,0,0,3,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
358234,0,0,0,0,1,1,112500,635962,25663,549000,-9971,-557,-3452,3,1,0,1,0,2,0,62052,90000,7,2,-517,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
254758,0,0,0,0,1,1,112500,227520,18103,180000,-10377,-1251,-681,2,1,0,1,0,2,0,72605,180000,6,4,-865,3,1,0,0,2,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
382753,0,0,0,0,1,1,202500,1215000,33412,1215000,-14311,-7439,-6241,3,1,1,1,0,2,0,179332,767664,22,7,-1343,7,0,0,0,0,7,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
327600,0,0,1,0,0,0,166500,502497,32112,454500,-22597,-1648,-5011,2,0,0,1,0,3,0,137331,137331,6,1,-1421,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
350367,0,1,0,0,1,0,135000,270000,13500,270000,-16818,-267,-9730,2,1,0,1,0,2,0,169895,257706,8,2,-556,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
